TITLE = " Ionization Mass Fractions"
Variables = " Ar+", "N+", "O+", "e-", "T"
Zone T= "Temperature", I=1000, F=POINT
8.16545e-09 9.85373e-08 1.94196e-06 2.04866e-06 5039.32
8.83991e-09 1.10016e-07 2.06429e-06 2.18315e-06 5058.72
9.55237e-09 1.22516e-07 2.19111e-06 2.32318e-06 5077.82
1.03037e-08 1.36093e-07 2.32241e-06 2.4688e-06 5096.64
1.10946e-08 1.50808e-07 2.45817e-06 2.62007e-06 5115.17
1.1926e-08 1.66717e-07 2.59837e-06 2.77702e-06 5133.42
1.27986e-08 1.83883e-07 2.743e-06 2.93968e-06 5151.4
1.3713e-08 2.02363e-07 2.89202e-06 3.10809e-06 5169.11
1.46699e-08 2.22221e-07 3.0454e-06 3.2823e-06 5186.55
1.567e-08 2.43516e-07 3.20313e-06 3.46231e-06 5203.74
1.67139e-08 2.66311e-07 3.36515e-06 3.64817e-06 5220.67
1.78021e-08 2.90667e-07 3.53144e-06 3.83991e-06 5237.36
1.89352e-08 3.16647e-07 3.70195e-06 4.03754e-06 5253.81
2.01137e-08 3.44313e-07 3.87666e-06 4.24109e-06 5270.02
2.13381e-08 3.73728e-07 4.05552e-06 4.45059e-06 5286
2.2609e-08 4.04954e-07 4.23849e-06 4.66605e-06 5301.76
2.39266e-08 4.38055e-07 4.42552e-06 4.8875e-06 5317.3
2.52915e-08 4.73093e-07 4.61658e-06 5.11496e-06 5332.62
2.67041e-08 5.10131e-07 4.81162e-06 5.34845e-06 5347.74
2.81647e-08 5.49232e-07 5.01059e-06 5.58799e-06 5362.65
2.96736e-08 5.90458e-07 5.21346e-06 5.83359e-06 5377.37
3.12313e-08 6.33872e-07 5.42018e-06 6.08528e-06 5391.89
3.28379e-08 6.79537e-07 5.6307e-06 6.34307e-06 5406.22
3.4494e-08 7.27515e-07 5.84497e-06 6.60698e-06 5420.37
3.61996e-08 7.77868e-07 6.06296e-06 6.87703e-06 5434.34
3.79551e-08 8.30657e-07 6.28462e-06 7.15323e-06 5448.14
3.97607e-08 8.85945e-07 6.5099e-06 7.4356e-06 5461.76
4.16167e-08 9.43792e-07 6.73876e-06 7.72416e-06 5475.22
4.35233e-08 1.00426e-06 6.97115e-06 8.01893e-06 5488.52
4.54806e-08 1.06741e-06 7.20702e-06 8.31992e-06 5501.66
4.74889e-08 1.1333e-06 7.44635e-06 8.62714e-06 5514.64
4.95484e-08 1.202e-06 7.68908e-06 8.94062e-06 5527.48
5.16592e-08 1.27356e-06 7.93516e-06 9.26038e-06 5540.17
5.38215e-08 1.34804e-06 8.18456e-06 9.58642e-06 5552.71
5.60355e-08 1.4255e-06 8.43723e-06 9.91877e-06 5565.12
5.83012e-08 1.506e-06 8.69314e-06 1.02574e-05 5577.38
6.06188e-08 1.58961e-06 8.95223e-06 1.06025e-05 5589.52
6.29884e-08 1.67637e-06 9.21447e-06 1.09538e-05 5601.53
6.54102e-08 1.76634e-06 9.47982e-06 1.13116e-05 5613.4
6.78842e-08 1.85959e-06 9.74824e-06 1.16757e-05 5625.16
